CAN,US,Virulence,Yr1,Yr5,Yr6,Yr7,Yr8,Yr9,Yr10,Yr15,Yr17,Yr24,Yr27,Yr32,Yr43,Yr44,YrSP,YrTr1,YrExp2,YrTye,
-,PSTv-084,"1,6,7,8,9,17,43,44,Exp2,Tye",v,a,v,v,v,v,a,a,v,a,a,a,v,v,a,a,v,v,
-,PSTv-085,"1,6,7,8,9,27,43,44,Tr1,Exp2,Tye",v,a,v,v,v,v,a,a,a,a,v,a,v,v,a,v,v,v,
-,PSTv-086,"1,6,9,27,44,SP,Exp2,Tye",v,a,v,a,a,v,a,a,a,a,v,a,a,v,v,a,v,v,
-,PSTv-087,"6,17,24,27,32,44,Exp2",a,a,v,a,a,a,a,a,v,v,v,v,a,v,a,a,v,a,
-,PSTv-088,"6,7,17,24,43,44,Exp2",a,a,v,v,a,a,a,a,v,v,a,v,v,v,a,a,v,a,
-,PSTv-089,"6,7,17,27,44,Tr1,Exp2",a,a,v,v,a,a,a,a,v,a,v,a,a,v,a,v,v,a,
-,PSTv-090,"6,7,17,44,Exp2",a,a,v,v,a,a,a,a,v,a,a,a,a,v,a,a,v,a,
-,PSTv-091,"6,7,8,17,24,27,32,43,44,Exp2",a,a,v,v,v,a,a,a,v,v,v,v,v,v,a,a,v,a,
-,PSTv-092,"6,7,8,9,10,17,24,32,44,Tr1,Exp2",a,a,v,v,v,v,v,a,v,v,a,v,a,v,a,v,v,a,
-,PSTv-093,"6,7,8,9,10,17,44,Exp2",a,a,v,v,v,v,v,a,v,a,a,a,a,v,a,a,v,a,
-,PSTv-094,"6,7,8,44,Exp2",a,a,v,v,v,a,a,a,a,a,a,a,a,v,a,a,v,a,
-,PSTv-095,"6,7,9,17,27,44,Tr1,Exp2",a,a,v,v,a,v,a,a,v,a,v,a,a,v,a,v,v,a,
-,PSTv-096,"6,7,9,17,44,Exp2,Tye",a,a,v,v,a,v,a,a,v,a,a,a,a,v,a,a,v,v,
-,PSTv-097,"1,6,7,8,17,43,44,Exp2",v,a,v,v,v,a,a,a,v,a,a,a,v,v,a,a,v,a,
-,PSTv-098,"6,7,8,17,43,44,SP,Exp2",a,a,v,v,v,a,a,a,v,a,a,a,v,v,v,a,v,a,
-,PSTv-099,"6,7,8,17,44,Exp2",a,a,v,v,v,a,a,a,v,a,a,a,a,v,a,a,v,a,
-,PSTv-100,"1,6,7,8,9,10,17,27,32,43,44,SP,Tr1,Exp2,Tye",v,a,v,v,v,v,v,a,v,a,v,v,v,v,v,v,v,v,
-,PSTv-101,"6,7,8,17,27,43,44,Tr1,Exp2",a,a,v,v,v,a,a,a,v,a,v,a,v,v,a,v,v,a,
-,PSTv-102,"6,7,8,27,43,44,Tr1,Exp2",a,a,v,v,v,a,a,a,a,a,v,a,v,v,a,v,v,a,
-,PSTv-103,"1,6,7,8,9,27,44,SP,Tr1,Exp2,Tye",v,a,v,v,v,v,a,a,a,a,v,a,a,v,v,v,a,v,
